key,model,suite,task_id,min_score,max_score,spread,average_score,best_run,best_candidate,best_score,worst_run,worst_candidate,worst_score,current_extra5_score,control_extra3_score,scores,errors
E4B|dataextract|de-05,E4B,dataextract,de-05,86,93,7,89.5,extra5-i05,balanced-retry-empty-json-320-896,93,extra5-i04,json-640-instruction-384-reasonmath-768,86,93,93,[object Object],[object Object]
E4B|dataextract|de-06,E4B,dataextract,de-06,80,87,7,84.375,extra5-i05,balanced-retry-empty-json-320-896,87,extra3-i03,tool-rescue-reason-1024-default-256,80,87,87,[object Object],[object Object]
E4B|speed|speed-short-003,E4B,speed,speed-short-003,53.18,58.91,5.729999999999997,56.22875,extra5-i02,json-640-tool-256-coding-128,58.91,extra5-i05,balanced-retry-empty-json-320-896,53.18,53.18,55.26,[object Object],[object Object]
E4B|speed|speed-short-002,E4B,speed,speed-short-002,54.83,60.31,5.480000000000004,57.821250000000006,extra3-i03,tool-rescue-reason-1024-default-256,60.31,extra5-i01,reasonmath-896-instruction-640-coding-128,54.83,55.11,57.98,[object Object],[object Object]
E2B|speed|speed-long-003,E2B,speed,speed-long-003,66.73,69.69,2.9599999999999937,68.55625,extra3-i02,json-768-instruction-448-default-288,69.69,extra3-i01,promoted-extra5-control,66.73,68.98,66.73,[object Object],[object Object]
E4B|speed|speed-medium-001,E4B,speed,speed-medium-001,58.1,60.53,2.4299999999999997,59.230000000000004,extra5-i03,tool-normalize-dedupe-retry-coding-128,60.53,extra3-i01,promoted-extra5-control,58.1,58.93,58.1,[object Object],[object Object]
E2B|speed|speed-medium-003,E2B,speed,speed-medium-003,67.58,69.84,2.260000000000005,68.68749999999999,extra3-i03,tool-rescue-reason-1024-default-256,69.84,extra5-i04,json-640-instruction-384-reasonmath-768,67.58,68.99,67.82,[object Object],[object Object]
E4B|speed|speed-long-002,E4B,speed,speed-long-002,58.45,60.34,1.8900000000000006,59.41,extra5-i05,balanced-retry-empty-json-320-896,60.34,extra5-i01,reasonmath-896-instruction-640-coding-128,58.45,60.34,59.54,[object Object],[object Object]
E2B|speed|speed-medium-002,E2B,speed,speed-medium-002,68.08,69.86,1.7800000000000011,68.60875,extra5-i03,tool-normalize-dedupe-retry-coding-128,69.86,extra5-i02,json-640-tool-256-coding-128,68.08,68.42,69.29,[object Object],[object Object]
E2B|speed|speed-medium-001,E2B,speed,speed-medium-001,67.22,68.93,1.710000000000008,68.22125,extra5-i03,tool-normalize-dedupe-retry-coding-128,68.93,extra5-i01,reasonmath-896-instruction-640-coding-128,67.22,68.38,67.7,[object Object],[object Object]
E4B|speed|speed-medium-002,E4B,speed,speed-medium-002,58.97,60.6,1.6300000000000026,59.56375,extra3-i02,json-768-instruction-448-default-288,60.6,extra5-i01,reasonmath-896-instruction-640-coding-128,58.97,59.23,59.08,[object Object],[object Object]
E4B|speed|speed-medium-003,E4B,speed,speed-medium-003,59,60.59,1.5900000000000034,59.64625,extra5-i01,reasonmath-896-instruction-640-coding-128,60.59,extra5-i02,json-640-tool-256-coding-128,59,60.1,59.41,[object Object],[object Object]
E2B|speed|speed-long-001,E2B,speed,speed-long-001,68.42,70,1.5799999999999983,68.80125000000001,extra5-i04,json-640-instruction-384-reasonmath-768,70,extra5-i02,json-640-tool-256-coding-128,68.42,68.44,68.65,[object Object],[object Object]
E4B|speed|speed-long-001,E4B,speed,speed-long-001,59.09,60.34,1.25,59.77875000000001,extra5-i04,json-640-instruction-384-reasonmath-768,60.34,extra5-i02,json-640-tool-256-coding-128,59.09,59.56,59.78,[object Object],[object Object]
E2B|speed|speed-long-002,E2B,speed,speed-long-002,67.92,69.03,1.1099999999999994,68.38125,extra3-i02,json-768-instruction-448-default-288,69.03,extra5-i01,reasonmath-896-instruction-640-coding-128,67.92,68.53,68.02,[object Object],[object Object]
E4B|speed|speed-long-003,E4B,speed,speed-long-003,59,60.01,1.009999999999998,59.481249999999996,extra5-i03,tool-normalize-dedupe-retry-coding-128,60.01,extra5-i04,json-640-instruction-384-reasonmath-768,59,59.76,59.61,[object Object],[object Object]
E2B|agent|agent-01-weather-math,E2B,agent,agent-01-weather-math,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|agent|agent-04-multi-step-calc,E2B,agent,agent-04-multi-step-calc,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|agent|agent-06-weather-fahrenheit,E2B,agent,agent-06-weather-fahrenheit,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|agent|agent-07-stocks-compare,E2B,agent,agent-07-stocks-compare,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|agent|agent-08-chained-tools,E2B,agent,agent-08-chained-tools,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-add-error-handling,E2B,coding,coding-add-error-handling,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-async-to-sync-refactor,E2B,coding,coding-async-to-sync-refactor,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-bug-fix-off-by-one,E2B,coding,coding-bug-fix-off-by-one,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-csv-parser,E2B,coding,coding-csv-parser,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-deduplicate-preserve-order,E2B,coding,coding-deduplicate-preserve-order,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-fibonacci-memo,E2B,coding,coding-fibonacci-memo,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-flatten-nested,E2B,coding,coding-flatten-nested,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-json-validator,E2B,coding,coding-json-validator,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-lru-cache,E2B,coding,coding-lru-cache,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-parse-log-entries,E2B,coding,coding-parse-log-entries,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-rate-limiter,E2B,coding,coding-rate-limiter,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|coding|coding-retry-decorator,E2B,coding,coding-retry-decorator,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|dataextract|de-01,E2B,dataextract,de-01,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|dataextract|de-02,E2B,dataextract,de-02,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|dataextract|de-15,E2B,dataextract,de-15,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|instructfollow|if-03,E2B,instructfollow,if-03,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|instructfollow|if-04,E2B,instructfollow,if-04,50,50,0,50,extra5-i05,balanced-retry-empty-json-320-896,50,extra5-i05,balanced-retry-empty-json-320-896,50,50,50,[object Object],[object Object]
E2B|instructfollow|if-06,E2B,instructfollow,if-06,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|instructfollow|if-08,E2B,instructfollow,if-08,50,50,0,50,extra5-i05,balanced-retry-empty-json-320-896,50,extra5-i05,balanced-retry-empty-json-320-896,50,50,50,[object Object],[object Object]
E2B|instructfollow|if-09,E2B,instructfollow,if-09,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|instructfollow|if-10,E2B,instructfollow,if-10,66.7,66.7,0,66.7,extra5-i05,balanced-retry-empty-json-320-896,66.7,extra5-i05,balanced-retry-empty-json-320-896,66.7,66.7,66.7,[object Object],[object Object]
E2B|instructfollow|if-11,E2B,instructfollow,if-11,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|instructfollow|if-12,E2B,instructfollow,if-12,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|instructfollow|if-13,E2B,instructfollow,if-13,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|instructfollow|if-14,E2B,instructfollow,if-14,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|instructfollow|if-15,E2B,instructfollow,if-15,50,50,0,50,extra5-i05,balanced-retry-empty-json-320-896,50,extra5-i05,balanced-retry-empty-json-320-896,50,50,50,[object Object],[object Object]
E2B|reasonmath|rm-01,E2B,reasonmath,rm-01,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-02,E2B,reasonmath,rm-02,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-04,E2B,reasonmath,rm-04,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|reasonmath|rm-07,E2B,reasonmath,rm-07,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-08,E2B,reasonmath,rm-08,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|reasonmath|rm-09,E2B,reasonmath,rm-09,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-10,E2B,reasonmath,rm-10,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-11,E2B,reasonmath,rm-11,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|reasonmath|rm-13,E2B,reasonmath,rm-13,0,0,0,0,extra5-i05,balanced-retry-empty-json-320-896,0,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|reasonmath|rm-14,E2B,reasonmath,rm-14,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-01,E2B,toolcall,tc-01,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-02,E2B,toolcall,tc-02,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-04,E2B,toolcall,tc-04,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-06,E2B,toolcall,tc-06,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-07,E2B,toolcall,tc-07,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-08,E2B,toolcall,tc-08,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-09,E2B,toolcall,tc-09,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-10,E2B,toolcall,tc-10,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-11,E2B,toolcall,tc-11,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-12,E2B,toolcall,tc-12,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-13,E2B,toolcall,tc-13,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-14,E2B,toolcall,tc-14,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E2B|toolcall|tc-15,E2B,toolcall,tc-15,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-01-weather-math,E4B,agent,agent-01-weather-math,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-02-stock-portfolio,E4B,agent,agent-02-stock-portfolio,75,75,0,75,extra5-i05,balanced-retry-empty-json-320-896,75,extra5-i05,balanced-retry-empty-json-320-896,75,75,75,[object Object],[object Object]
E4B|agent|agent-04-multi-step-calc,E4B,agent,agent-04-multi-step-calc,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-05-refuse-unknown-tool,E4B,agent,agent-05-refuse-unknown-tool,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-06-weather-fahrenheit,E4B,agent,agent-06-weather-fahrenheit,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-07-stocks-compare,E4B,agent,agent-07-stocks-compare,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|agent|agent-08-chained-tools,E4B,agent,agent-08-chained-tools,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|coding|coding-add-error-handling,E4B,coding,coding-add-error-handling,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|coding|coding-async-to-sync-refactor,E4B,coding,coding-async-to-sync-refactor,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
E4B|coding|coding-bug-fix-off-by-one,E4B,coding,coding-bug-fix-off-by-one,100,100,0,100,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i05,balanced-retry-empty-json-320-896,100,100,100,[object Object],[object Object]
